Year,week,Restrictions,Involuntary Form 1,Substance related,Alcohol related,Mood related,Psychosis related,Situational crisis,Self harm related,Total
2019,Mar 1 - Mar 7,Minimal restrictions,161,48,27,65,26,19,10,356
2019,Mar 8 - Mar 14,Minimal restrictions,163,53,45,81,34,18,5,399
2019,Mar 15 - Mar 21,Lockdown,204,118,91,76,26,26,8,549
2019,Mar 22 - Mar 28,Lockdown,137,34,18,78,18,17,10,312
2019,Mar 29 - Apr 4,Lockdown,159,53,31,84,21,19,10,377
2019,Apr 5 - Apr 11,Lockdown,164,52,36,80,23,19,8,382
2019,Apr 12 - Apr 18,Lockdown,141,44,20,67,22,25,12,331
2019,Apr 19 - Apr 25,Lockdown,144,32,20,69,29,29,10,333
2019,Apr 26 - May 2,Lockdown,163,63,34,65,28,28,7,388
2019,May 3 - May 9,Easing restrictions,195,62,40,81,40,25,12,455
2019,May 10 - May 16,Easing restrictions,172,61,40,87,22,22,13,417
2019,May 17 - May 23,Easing restrictions,142,51,38,51,24,15,10,331
2019,May 24 - May 30,Easing restrictions,151,48,28,71,30,20,10,358
2019,May 31 - June 6,Easing restrictions,179,65,37,71,32,17,16,417
2019,June 7 - June 13,Minimal restrictions,163,58,40,76,30,26,12,405
2019,June 14 - June 20,Minimal restrictions,160,41,27,73,23,26,9,359
2019,June 21 - June 27,Minimal restrictions,148,52,36,65,20,28,4,353
2019,June 28 - July 4,Minimal restrictions,144,49,30,48,39,18,4,332
2019,July 5 - July 11,Minimal restrictions,158,53,35,56,31,23,13,369
2019,July 12 - July 18,Minimal restrictions,129,35,25,50,28,21,12,300
2019,July 19 - July 25,Minimal restrictions,145,43,31,60,38,22,10,349
2019,July 26 -  Aug 1,Minimal restrictions,140,50,36,56,26,22,7,337
2019,Aug 2 - Aug 8,Minimal restrictions,133,40,29,56,17,22,9,306
2019,Aug 9 - Aug 15,Minimal restrictions,127,33,26,54,24,17,10,291
2019,Aug 16 - Aug 22,Minimal restrictions,124,41,30,44,24,17,8,288
2019,Aug 23 - Aug 29,Minimal restrictions,134,34,27,52,27,21,14,309
2019,Aug 30 - Sep 5,Minimal restrictions,129,48,31,41,26,16,12,303
2020,Mar 1 - Mar 7,Minimal restrictions,166,49,26,56,38,10,6,351
2020,Mar 8 - Mar 14,Minimal restrictions,163,43,28,68,34,14,6,356
2020,Mar 15 - Mar 21,Lockdown,100,25,20,38,34,7,7,231
2020,Mar 22 - Mar 28,Lockdown,86,24,13,27,20,8,5,183
2020,Mar 29 - Apr 4,Lockdown,90,32,18,31,29,10,4,214
2020,Apr 5 - Apr 11,Lockdown,90,21,13,32,33,12,3,204
2020,Apr 12 - Apr 18,Lockdown,106,31,24,43,28,8,7,247
2020,Apr 19 - Apr 25,Lockdown,101,28,21,48,28,5,10,241
2020,Apr 26 - May 2,Lockdown,88,20,15,31,17,10,5,186
2020,May 3 - May 9,Easing restrictions,116,34,20,52,22,14,3,261
2020,May 10 - May 16,Easing restrictions,130,36,25,51,24,7,1,274
2020,May 17 - May 23,Easing restrictions,115,42,33,39,20,7,3,259
2020,May 24 - May 30,Easing restrictions,124,36,18,50,37,15,7,287
2020,May 31 - June 6,Easing restrictions,130,34,24,59,30,16,6,299
2020,June 7 - June 13,Minimal restrictions,145,45,21,57,33,8,12,321
2020,June 14 - June 20,Minimal restrictions,111,35,24,43,30,7,5,255
2020,June 21 - June 27,Minimal restrictions,148,37,25,65,21,16,7,319
2020,June 28 - July 4,Minimal restrictions,74,25,24,45,21,8,5,202
2020,July 5 - July 11,Minimal restrictions,134,27,21,44,27,17,6,276
2020,July 12 - July 18,Minimal restrictions,150,43,40,61,39,12,6,351
2020,July 19 - July 25,Minimal restrictions,147,37,19,57,33,10,4,307
2020,July 26 -  Aug 1,Minimal restrictions,144,41,26,59,36,11,4,321
2020,Aug 2 - Aug 8,Minimal restrictions,147,40,20,51,30,14,5,307
2020,Aug 9 - Aug 15,Minimal restrictions,115,30,26,60,21,12,3,267
2020,Aug 16 - Aug 22,Minimal restrictions,135,39,21,57,47,11,0,310
2020,Aug 23 - Aug 29,Minimal restrictions,136,41,27,51,22,8,4,289
2020,Aug 30 - Sep 5,Minimal restrictions,146,38,24,49,32,12,11,312
